state,yr,qtr,index_nsa,index_sa,date
AK,2021,2,301.08,296.88,4/1/2021
AK,2021,3,314.13,309.77,7/1/2021
AK,2021,4,316.46,317.67,10/1/2021
AK,2022,1,320.81,323.7,1/1/2022
AK,2022,2,336.87,332.4,4/1/2022
AK,2022,3,345.36,340.39,7/1/2022
AK,2022,4,337.21,338.29,10/1/2022
AK,2023,1,341.2,344.4,1/1/2023
AK,2023,2,353.11,348.59,4/1/2023
AK,2023,3,354.28,349.09,7/1/2023
AK,2023,4,357.12,358.19,10/1/2023
AK,2024,1,357.56,360.93,1/1/2024
AK,2024,2,370.08,365.31,4/1/2024
AK,2024,3,377.28,371.88,7/1/2024
AL,1991,1,100,100,1/1/1991
AL,1991,2,101.58,101.28,4/1/1991
AL,1991,3,102.5,101.89,7/1/1991
AL,1991,4,103.35,102.81,10/1/1991
AL,1992,1,104.19,104.19,1/1/1992
AL,1992,2,104.54,104.23,4/1/1992
AL,1992,3,106.69,106.04,7/1/1992
AL,1992,4,108.21,107.7,10/1/1992
AL,1993,1,108.8,108.8,1/1/1993
AL,1993,2,109.86,109.5,4/1/1993
AL,1993,3,111.95,111.25,7/1/1993
AL,1993,4,113.07,112.61,10/1/1993
AL,1994,1,113.99,113.95,1/1/1994
AL,1994,2,116.08,115.67,4/1/1994
AL,1994,3,117.24,116.48,7/1/1994
AL,1994,4,117.74,117.38,10/1/1994
AL,1995,1,118.5,118.41,1/1/1995
AL,1995,2,119.74,119.25,4/1/1995
AL,1995,3,121.47,120.7,7/1/1995
AL,1995,4,121.78,121.5,10/1/1995
AL,1996,1,122.69,122.53,1/1/1996
AL,1996,2,125.05,124.47,4/1/1996
AL,1996,3,125.64,124.88,7/1/1996
AL,1996,4,126.36,126.16,10/1/1996
AL,1997,1,127.67,127.45,1/1/1997
AL,1997,2,128.17,127.5,4/1/1997
AL,1997,3,129.58,128.89,7/1/1997
AL,1997,4,129.46,129.3,10/1/1997
AL,1998,1,130.87,130.59,1/1/1998
AL,1998,2,132.6,131.87,4/1/1998
AL,1998,3,133.97,133.3,7/1/1998
AL,1998,4,135.31,135.16,10/1/1998
AL,1999,1,136.34,136.02,1/1/1999
AL,1999,2,138.11,137.3,4/1/1999
AL,1999,3,138.6,137.96,7/1/1999
AL,1999,4,139.61,139.44,10/1/1999
AL,2000,1,141.07,140.77,1/1/2000
AL,2000,2,142.31,141.46,4/1/2000
AL,2000,3,142.75,142.06,7/1/2000
AL,2000,4,142.71,142.51,10/1/2000
AL,2001,1,144.17,143.94,1/1/2001
AL,2001,2,145.91,145.05,4/1/2001
AL,2001,3,146.81,146.01,7/1/2001
AL,2001,4,147.29,147.09,10/1/2001
AL,2002,1,148.3,148.15,1/1/2002
AL,2002,2,150.22,149.36,4/1/2002
AL,2002,3,151.16,150.19,7/1/2002
AL,2002,4,153.15,152.96,10/1/2002
AL,2003,1,154.05,154,1/1/2003
AL,2003,2,156.21,155.32,4/1/2003
AL,2003,3,159.35,158.19,7/1/2003
AL,2003,4,158.92,158.77,10/1/2003
AL,2004,1,159.98,160.05,1/1/2004
AL,2004,2,163.65,162.67,4/1/2004
AL,2004,3,167.28,165.96,7/1/2004
AL,2004,4,168.38,168.26,10/1/2004
AL,2005,1,171.09,171.32,1/1/2005
AL,2005,2,175.2,174.01,4/1/2005
AL,2005,3,179.21,177.67,7/1/2005
AL,2005,4,182.63,182.64,10/1/2005
AL,2006,1,186.74,187.11,1/1/2006
AL,2006,2,191.96,190.51,4/1/2006
AL,2006,3,194.98,193.2,7/1/2006
AL,2006,4,195.66,195.78,10/1/2006
AL,2007,1,197.75,198.32,1/1/2007
AL,2007,2,202.18,200.53,4/1/2007
AL,2007,3,202.08,200.02,7/1/2007
AL,2007,4,200.05,200.3,10/1/2007
AL,2008,1,197.84,198.63,1/1/2008
AL,2008,2,198.26,196.61,4/1/2008
AL,2008,3,195.9,193.58,7/1/2008
AL,2008,4,190.55,190.9,10/1/2008
AL,2009,1,190.48,191.5,1/1/2009
AL,2009,2,192.22,190.58,4/1/2009
AL,2009,3,187.99,185.41,7/1/2009
AL,2009,4,191.6,192.12,10/1/2009
AL,2010,1,183,184.19,1/1/2010
AL,2010,2,182.4,180.78,4/1/2010
AL,2010,3,181.89,179.18,7/1/2010
AL,2010,4,174.45,175.07,10/1/2010
